Periodo,Inflación mensual,Inflación subyacente,Inflación subyacente - mercancias,Inflación subyacente - servicios,Inflación no subyacente,Inflación no subyacente - agropecuarios,Inflación no subyacente - energéticos y tarifas autorizadas por el gobierno  ,Inflación mensual interanual,Inflación subyacente interanual,Inflación subyacente - mercancias interanual,Inflación subyacente - servicios interanual,Inflación no subyacente interanual,Inflación no subyacente - agropecuarios interanual,Inflación no subyacente - energéticos y tarifas autorizadas por el gobierno interanual,Inflación mensual acumulada,Inflación subyacente acumulada,Inflación subyacente - mercancias acumulada,Inflación subyacente - servicios acumulada,Inflación no subyacenteacumulada,Inflación no subyacente - agropecuarios acumulada,Inflación no subyacente - energéticos y tarifas autorizadas por el gobierno acumulada
2014/08,0.36,0.21,0.45,0.02,0.83,1.95,0.16,4.15,3.37,3.56,3.22,6.72,6.22,7.03,1.73,2.37,2.68,2.11,-0.27,1.3,-1.21
2014/09,0.44,0.29,0.32,0.27,0.92,2.02,0.25,4.22,3.34,3.46,3.24,7.11,7.57,6.82,2.18,2.67,3.01,2.38,0.65,3.34,-0.97
2014/10,0.55,0.17,0.17,0.17,1.79,0.1,2.84,4.3,3.32,3.53,3.14,7.51,8.46,6.93,2.74,2.84,3.19,2.55,2.45,3.45,1.84
2014/11,0.81,0.16,0.12,0.2,2.83,1.62,3.58,4.17,3.34,3.68,3.06,6.78,7.04,6.62,3.57,3.01,3.31,2.75,5.35,5.12,5.49
2014/12,0.49,0.23,0.19,0.27,1.28,3.32,0.06,4.08,3.24,3.5,3.03,6.7,8.61,5.55,4.08,3.24,3.5,3.03,6.7,8.61,5.55
2015/01,-0.09,-0.03,0.22,-0.24,-0.27,-0.78,0.05,3.07,2.34,2.43,2.26,5.34,8.5,3.49,-0.09,-0.03,0.22,-0.24,-0.27,-0.78,0.05
2015/02,0.19,0.34,0.33,0.35,-0.27,-0.88,0.11,3,2.4,2.64,2.2,4.88,8.32,2.9,0.1,0.31,0.55,0.11,-0.53,-1.64,0.15
2015/03,0.41,0.26,0.15,0.36,0.85,0.74,0.92,3.14,2.45,2.6,2.32,5.29,8.34,3.52,0.51,0.57,0.69,0.47,0.31,-0.92,1.07
2015/04,-0.26,0.16,0.28,0.05,-1.51,0.26,-2.59,3.06,2.31,2.65,2.03,5.46,9.86,2.89,0.25,0.73,0.97,0.52,-1.21,-0.66,-1.55
2015/05,-0.5,0.12,0.08,0.15,-2.4,-1.37,-3.05,2.88,2.33,2.44,2.23,4.64,7.5,2.9,-0.25,0.84,1.05,0.67,-3.58,-2.02,-4.54
2015/06,0.17,0.21,0.21,0.21,0.04,-0.24,0.21,2.87,2.33,2.48,2.2,4.63,7.67,2.8,-0.09,1.05,1.26,0.88,-3.55,-2.26,-4.34
2015/07,0.15,0.17,-0.06,0.36,0.07,0.09,0.05,2.74,2.31,2.47,2.18,4.12,6.94,2.42,0.06,1.23,1.21,1.25,-3.48,-2.17,-4.29
2015/08,0.21,0.2,0.34,0.08,0.24,0.23,0.25,2.59,2.3,2.36,2.25,3.51,5.14,2.51,0.27,1.43,1.55,1.33,-3.25,-1.94,-4.06
2015/09,0.37,0.37,0.5,0.26,0.39,0.89,0.07,2.52,2.38,2.54,2.24,2.96,3.98,2.33,0.65,1.81,2.06,1.6,-2.87,-1.07,-3.99
2015/10,0.51,0.25,0.35,0.17,1.35,0.04,2.19,2.48,2.47,2.73,2.25,2.52,3.91,1.68,1.16,2.06,2.41,1.77,-1.56,-1.02,-1.89
2015/11,0.55,0.04,0.18,-0.09,2.15,0.43,3.22,2.21,2.34,2.79,1.95,1.84,2.7,1.33,1.72,2.1,2.6,1.68,0.56,-0.6,1.27
2015/12,0.41,0.31,0.21,0.39,0.72,2.33,-0.26,2.13,2.41,2.82,2.07,1.28,1.72,1,2.13,2.41,2.82,2.07,1.28,1.72,1
2016/01,0.38,0.19,0.26,0.14,0.96,2.68,-0.12,2.61,2.64,2.86,2.46,2.52,5.27,0.84,0.38,0.19,0.26,0.14,0.96,2.68,-0.12
2016/02,0.44,0.36,0.48,0.25,0.68,1.77,-0.02,2.87,2.66,3.02,2.36,3.49,8.08,0.71,0.82,0.55,0.74,0.39,1.64,4.5,-0.14
2016/03,0.15,0.36,0.34,0.37,-0.49,-1,-0.16,2.6,2.76,3.23,2.37,2.12,6.21,-0.37,0.97,0.91,1.09,0.76,1.14,3.46,-0.3
2016/04,-0.32,0.22,0.42,0.06,-1.96,-1.39,-2.32,2.54,2.83,3.37,2.37,1.66,4.46,-0.09,0.65,1.13,1.51,0.82,-0.83,2.02,-2.61
2016/05,-0.45,0.21,0.26,0.18,-2.51,-0.77,-3.65,2.6,2.93,3.55,2.41,1.55,5.1,-0.71,0.2,1.35,1.77,1,-3.32,1.24,-6.16
2016/06,0.11,0.25,0.27,0.24,-0.35,-1.42,0.37,2.54,2.97,3.61,2.44,1.16,3.87,-0.56,0.31,1.61,2.04,1.24,-3.66,-0.2,-5.82
2016/07,0.26,0.17,0.03,0.29,0.55,-0.77,1.43,2.65,2.97,3.71,2.36,1.65,2.97,0.81,0.57,1.78,2.08,1.53,-3.13,-0.97,-4.47
2016/08,0.28,0.19,0.39,0.02,0.58,0.35,0.72,2.73,2.96,3.76,2.29,1.99,3.09,1.29,0.86,1.98,2.48,1.55,-2.57,-0.62,-3.78
2016/09,0.61,0.48,0.65,0.33,1.04,3.1,-0.28,2.97,3.07,3.92,2.36,2.65,5.34,0.94,1.47,2.46,3.14,1.88,-1.55,2.46,-4.05
2016/10,0.61,0.28,0.4,0.17,1.65,-0.05,2.78,3.06,3.1,3.97,2.36,2.95,5.25,1.52,2.09,2.75,3.56,2.06,0.07,2.41,-1.39
2016/11,0.78,0.22,0.13,0.31,2.54,0.73,3.71,3.31,3.29,3.91,2.77,3.34,5.56,1.99,2.89,2.98,3.69,2.38,2.61,3.16,2.26
2016/12,0.46,0.45,0.35,0.53,0.51,0.97,0.22,3.36,3.44,4.05,2.92,3.13,4.15,2.49,3.36,3.44,4.05,2.92,3.13,4.15,2.49
2017/01,1.7,0.58,0.93,0.28,5.14,-0.88,8.96,4.72,3.84,4.75,3.07,7.4,0.53,11.8,1.7,0.58,0.93,0.28,5.14,-0.88,8.96
2017/02,0.58,0.76,1.11,0.47,0.03,-0.94,0.59,4.86,4.26,5.39,3.29,6.71,-2.14,12.48,2.29,1.35,2.04,0.75,5.18,-1.81,9.6
2017/03,0.61,0.57,0.78,0.4,0.73,2.2,-0.1,5.35,4.48,5.85,3.32,8.02,1.02,12.56,2.92,1.93,2.84,1.15,5.95,0.34,9.5
