Periodo,Indice general,Indice subyacente,Indice subyacente - Mercancias,Indice subyacente - Servicios,Indice no subyacente,Indice no subyacente - Agropecuarios,Indice no subyacente - Energéticos y tarifas autorizadas por el gobierno  
1995/08,20.43298127,22.45675615,21.59557161,23.13307417,15.08548066,16.69044732,13.79727031
1995/09,20.85564253,22.98212024,22.11306142,23.65926953,15.2760221,16.96517378,13.92064243
1995/10,21.28476212,23.38380899,22.60754789,23.94088914,15.7327858,17.6304765,14.21102774
1995/11,21.80960838,23.86040023,23.13972512,24.3416119,16.32105038,18.56256064,14.52509323
1995/12,22.52016727,24.5302403,23.85698951,24.9423206,17.06861865,19.47164289,15.1435382
1996/01,23.32975376,25.32583829,24.66591261,25.70833537,17.85483116,20.17474407,15.99541309
1996/02,23.87426203,25.92611094,25.32958661,26.22112454,18.25291116,20.62216186,16.35393642
1996/03,24.39982588,26.53114282,26.04557706,26.68050314,18.58647829,20.99176373,16.65858406
1996/04,25.09344962,27.26187295,26.8543561,27.3036761,19.16182169,21.82076627,17.03153775
1996/05,25.5508423,27.75748482,27.39640472,27.73427697,19.51370294,22.62541291,17.02261684
1996/06,25.96690173,28.23469039,27.8998415,28.17146007,19.78075178,23.00899718,17.19668251
1996/07,26.33603069,28.6589231,28.31266588,28.60253229,20.01608201,23.27718878,17.40568599
1996/08,26.68607171,29.04486266,28.74196989,28.92904794,20.27239109,23.5697215,17.6329767
1996/09,27.11275149,29.55244225,29.17535975,29.51875932,20.50992595,23.82786294,17.85394262
1996/10,27.45116754,29.88771432,29.5458137,29.80544975,20.83337848,24.07795711,18.23559943
1996/11,27.86708345,30.24775314,29.95471939,30.09977676,21.33501791,24.63427751,18.69335796
1996/12,28.75933645,30.89511058,30.49978325,30.86125642,22.66123002,25.35426126,20.50146504
1997/01,29.49888603,31.66658434,31.36167825,31.50937901,23.28949159,26.22707171,20.93455672
1997/02,29.99459809,32.21643829,31.88415622,32.08347556,23.64548545,26.50836486,21.34980214
1997/03,30.36788907,32.62906322,32.29005538,32.49741449,23.91659737,26.59879403,21.76462285
1997/04,30.69597181,33.04308358,32.70126221,32.9079468,24.05157149,26.65913055,21.95894579
1997/05,30.97611945,33.46857303,33.12689142,33.32614898,24.02269295,26.66451947,21.90279706
1997/06,31.25095691,33.82354981,33.48729562,33.66855907,24.11965427,26.65804519,22.08206633
1997/07,31.52321104,34.10108869,33.67273978,34.05394789,24.36392934,26.98879615,22.25731186
1997/08,31.8035022,34.37463304,33.88096501,34.40270311,24.64001329,27.48519466,22.35776034
1997/09,32.19961259,34.8668286,34.24092493,35.04818973,24.81882112,27.71653472,22.49461392
1997/10,32.45694082,35.18775004,34.58357476,35.33720276,24.93237156,27.4906406,22.87841093
1997/11,32.82004201,35.53675458,34.9344173,35.67812491,25.30091166,27.70215817,23.37175259
1997/12,33.27987451,35.9814979,35.25357163,36.2688342,25.76150354,28.34685925,23.68541862
1998/01,34.00392411,36.66824944,35.86007665,37.04211902,26.51466786,29.11743905,24.42421115
1998/02,34.59923784,37.37739591,36.63563454,37.65828431,26.84431456,29.38768997,24.80093866
1998/03,35.0045334,37.79303555,37.06191042,38.05398016,27.20305399,29.79993905,25.11682536
1998/04,35.33204206,38.22499716,37.49418272,38.47833746,27.30079326,29.94291367,25.17847547
1998/05,35.61348136,38.63612494,37.92104229,38.8633728,27.3043554,30.42690735,24.79943553
1998/06,36.03442041,39.09241917,38.50381606,39.15754288,27.62790594,30.9578323,24.95762404
1998/07,36.38187811,39.39366604,38.74203275,39.53074139,28.04612756,31.67421745,25.13811901
1998/08,36.7316321,39.79928228,39.14786566,39.92930879,28.26159367,31.95488069,25.30152049
